Combination_Index,initial_capital,risk_per_trade,open_range_min,stop_loss_pct,take_profit_pct,expiration_days,sigma,max_trades,max_minutes_in_trade,max_daily_loss_pct,max_portfolio_cap,max_drawdown_pct,max_consecutive_losses,trailing_stop_pct,decay_threshold
83,25000,0.1,20,0.05,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
84,25000,0.1,20,0.1,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
85,25000,0.1,20,0.1,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
86,25000,0.1,20,0.1,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
87,25000,0.1,20,0.1,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
88,25000,0.1,20,0.1,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
89,25000,0.1,20,0.1,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
90,25000,0.1,20,0.1,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
91,25000,0.1,20,0.1,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
92,25000,0.1,20,0.1,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
93,25000,0.1,20,0.1,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
94,25000,0.1,20,0.1,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
95,25000,0.1,20,0.1,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
96,25000,0.1,20,0.15,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
97,25000,0.1,20,0.15,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
98,25000,0.1,20,0.15,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
99,25000,0.1,20,0.15,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
100,25000,0.1,20,0.15,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
101,25000,0.1,20,0.15,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
102,25000,0.1,20,0.15,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
103,25000,0.1,20,0.15,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
104,25000,0.1,20,0.15,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
105,25000,0.1,20,0.15,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
106,25000,0.1,20,0.15,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
107,25000,0.1,20,0.15,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
108,25000,0.2,10,0.05,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
109,25000,0.2,10,0.05,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
110,25000,0.2,10,0.05,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
111,25000,0.2,10,0.05,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
112,25000,0.2,10,0.05,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
113,25000,0.2,10,0.05,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
114,25000,0.2,10,0.05,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
115,25000,0.2,10,0.05,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
116,25000,0.2,10,0.05,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
117,25000,0.2,10,0.05,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
118,25000,0.2,10,0.05,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
119,25000,0.2,10,0.05,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
120,25000,0.2,10,0.1,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
121,25000,0.2,10,0.1,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
122,25000,0.2,10,0.1,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
123,25000,0.2,10,0.1,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
124,25000,0.2,10,0.1,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
125,25000,0.2,10,0.1,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
126,25000,0.2,10,0.1,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
127,25000,0.2,10,0.1,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
128,25000,0.2,10,0.1,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
129,25000,0.2,10,0.1,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
130,25000,0.2,10,0.1,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
131,25000,0.2,10,0.1,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
132,25000,0.2,10,0.15,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
133,25000,0.2,10,0.15,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
134,25000,0.2,10,0.15,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
135,25000,0.2,10,0.15,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
136,25000,0.2,10,0.15,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
137,25000,0.2,10,0.15,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
138,25000,0.2,10,0.15,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
139,25000,0.2,10,0.15,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
140,25000,0.2,10,0.15,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
141,25000,0.2,10,0.15,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
142,25000,0.2,10,0.15,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
143,25000,0.2,10,0.15,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
144,25000,0.2,15,0.05,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
145,25000,0.2,15,0.05,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
146,25000,0.2,15,0.05,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
147,25000,0.2,15,0.05,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
148,25000,0.2,15,0.05,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
149,25000,0.2,15,0.05,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
150,25000,0.2,15,0.05,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
151,25000,0.2,15,0.05,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
152,25000,0.2,15,0.05,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
153,25000,0.2,15,0.05,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
154,25000,0.2,15,0.05,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
155,25000,0.2,15,0.05,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
156,25000,0.2,15,0.1,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
157,25000,0.2,15,0.1,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
158,25000,0.2,15,0.1,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
